short,long,stop_atr,atr_len,take_profit_r1,take_profit_frac1,take_profit_r,breakeven_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
58,336,2.75,50,1.0,0.7,2.25,1.0,4.5,False,True,False,11,6.04292385578281,0.129394212976909,2.349782196452908,0.02349782196452908,5.5066470914723435,1.032167006413329,2.0902556467737448,72.72727272727273,36.45454545454546,509.57625671441883,0.1972279191542912,718.9921134772544,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.25,1.0,4.5,False,True,False,11,5.993338307103549,0.12829927344986203,2.364131455212899,0.02364131455212899,5.426909454081444,0.9883610063350274,2.0733882527968253,72.72727272727273,36.45454545454546,504.89376673043967,0.20149598852747186,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.5,2.25,1.0,4.5,False,True,False,11,5.905770968638335,0.1263669697011529,2.3696585433526383,0.02369658543352638,5.332707957255584,0.9337002768595467,2.0536900318704387,72.72727272727273,36.45454545454546,503.65765387746,0.20306071484046076,740.8017784137372,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.0,4.5,False,True,False,11,5.771432176531234,0.12340591770757348,2.3310767569998654,0.023310767569998656,5.293944840597996,0.9915807902432081,2.051616560919358,72.72727272727273,36.27272727272727,493.9979446733237,0.19181108005462508,699.908921510244,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.25,5.0,False,True,False,11,5.720336394816022,0.12228074055114235,2.345862357723035,0.02345862357723035,5.212613610878336,0.9548208160925449,2.0321880262278813,63.63636363636363,46.0,507.65475987517993,0.19952822686755234,716.6913709715119,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.5,5.0,False,True,False,11,5.720336394816022,0.12228074055114235,2.345862357723035,0.02345862357723035,5.212613610878336,0.9548208160925449,2.0321880262278813,63.63636363636363,46.0,507.65475987517993,0.19952822686755234,716.6913709715119,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.25,1.25,4.5,False,True,False,11,5.7100496217193,0.12205428673655372,2.3454160999919966,0.023454160999919968,5.203950238807101,0.9487596695605611,2.0345721285529095,72.72727272727273,36.63636363636363,505.2665325287978,0.19595043738558796,716.369015251553,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.25,1.5,4.5,False,True,False,11,5.7100496217193,0.12205428673655372,2.3454160999919966,0.023454160999919968,5.203950238807101,0.9487596695605611,2.0345721285529095,72.72727272727273,36.63636363636363,505.2665325287978,0.19595043738558796,716.369015251553,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.7,2.0,1.0,5.0,False,True,False,11,5.6157405321371705,0.11997926209110754,2.3482820863758396,0.023482820863758396,5.109235503996644,0.9515859678518155,2.0170233355953915,72.72727272727273,36.36363636363637,507.7932169785535,0.19741637009309834,720.1116354083988,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,2.75,50,1.0,0.6,2.0,1.0,4.5,False,True,False,11,5.6001226637841315,0.1196358237295907,2.3424019335749646,0.023424019335749648,5.1073994609884465,0.9286363515883354,2.0150963322109847,72.72727272727273,36.27272727272727,487.33350941110547,0.19529906679745207,713.1843191140326,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
